scenario,config,rep,avg_jct,tail_jct_p95,max_jct,min_jct,makespan,avg_ilt
48_half,default,0,167.55833333334178,252.50000000002316,254.55000000002363,47.44999999999944,254.55000000002363,0.013829787234042554
48_half,custom_baseline,0,124.91354166667271,231.80000000001846,233.85000000001892,4.549999999999992,233.85000000001892,1.0234042553191351
48_half,custom_adaptive,0,74.50312500000042,185.15000000000785,205.6000000000125,4.549999999999992,205.6000000000125,3.672340425532026
48_half,reversed,0,187.34166666667622,253.5000000000234,254.20000000002355,88.94999999999709,254.20000000002355,1.0234042553191351
48_half,default,1,175.2187500000072,243.60000000002114,247.15000000002195,50.44999999999927,247.15000000002195,0.013829787234042554
48_half,custom_baseline,1,130.78020833333846,222.55000000001635,226.6500000000173,6.149999999999986,226.6500000000173,1.0234042553191351
48_half,custom_adaptive,1,76.0489583333333,180.70000000000684,194.80000000001004,5.949999999999987,194.80000000001004,3.5234042553192264
48_half,reversed,1,193.24687500001002,244.40000000002132,245.30000000002153,92.44999999999689,245.30000000002153,1.0234042553191351
48_half,default,2,155.79375000000536,230.95000000001826,234.35000000001904,47.64999999999943,234.35000000001904,0.013829787234042554
48_half,custom_baseline,2,113.43333333333672,210.0000000000135,214.15000000001444,4.149999999999993,214.15000000001444,1.0234042553191351
48_half,custom_adaptive,2,70.30833333333312,174.20000000000536,191.00000000000918,4.149999999999993,191.00000000000918,3.4670212765958093
48_half,reversed,2,175.40520833334003,232.20000000001855,234.200000000019,88.39999999999712,234.200000000019,1.0234042553191351
48_half,default,3,157.2791666666719,229.15000000001785,233.60000000001887,51.34999999999922,233.60000000001887,0.012765957446808512
48_half,custom_baseline,3,113.35000000000296,208.35000000001313,212.200000000014,5.1999999999999895,212.200000000014,1.0234042553191351
48_half,custom_adaptive,3,70.30208333333306,168.30000000000402,191.35000000000926,5.1999999999999895,191.35000000000926,3.3744680851064266
48_half,reversed,3,178.09062500000715,229.3000000000179,234.40000000001905,95.6999999999967,234.40000000001905,1.0234042553191351
48_half,default,4,159.20833333334002,237.7000000000198,241.90000000002075,48.64999999999937,241.90000000002075,0.012765957446808512
48_half,custom_baseline,4,116.44479166667145,216.90000000001507,219.80000000001573,5.749999999999988,219.80000000001573,1.0234042553191351
48_half,custom_adaptive,4,72.33749999999988,173.25000000000514,196.8000000000105,5.649999999999988,196.8000000000105,3.545744680851146
48_half,reversed,4,178.52291666667443,235.9000000000194,242.65000000002092,82.24999999999747,242.65000000002092,1.0234042553191351
